"id","title","composer","arranger","specific_voicing","key","time","notes"
"187","God is Gone Up with a Merry Noise","McCray",,"SSAATTBB",,,
"186","Gesu Bambino","Yon","Martens","SATB",,,
"590","Wassail Song",,"Williams","SATB",,,
"192","Gloria","Poulenc, Francis",,"SATB",,,
"194","I Will Arise and Go","Kirchner, Shawn",,"SATB",,,
"591","We Wish You A Merry Christmas","Traditional English","Parker","SATB",,,
"728","The Little Drummer Boy","Simeone, Onorati, Davis","McCarthy","SSABBB",,,
"853","When You Are Old","Erpelding",,"SATB",,,"4 copies"
"594","I Love my Love","Cornish Folk Song","Holst","SATB",,,
"719","Lamentations of Jeremiah","Stroope",,"SATB",,,
"180","Gesu Bambino","Yon","Krogstad","SATB",,,
"601","O Nata Lux","Lauridsn",,"SATB",,,"4 copies"
"202","Gradual","Bruckner",,"SATB",,,
"177","Gloria in Excelsis","Weekles","Rodde","SSAATB",,,"8 copies"
"183","God of Life","Haydn","Scholz","SATB",,,"3 copies"
"199","My Very Own","LaBarr",,"SATB",,,
"200","Three Madrigals","Diemer",,"SATB",,,
"201","Two Choral Sketches","White",,"SATB",,,
"721","Moonlight Sound Design","Tiguls",,"SATB",,,
"622","Let The River Run","Simon","Higgins","SAB",,,
"580","Walking on the Green Grass","American Folk","Hennagin","SATTBB",,,
"136","Die Mit Tranen Saen","Schein",,"SSATB",,,
"624","Our Father","Levy",,"SATB",,,
"135","Down By The Riverside","Spiritual","Gilbert","SATB",,,
"710","Si Ch'io Vorrei Morire","Monteverdi",,"SATBB",,,"split into 2 parts (in library); part one is in second cabinet + part 2 is in third"
"140","The Evening Primrose","Britten",,"SATB",,,
"583","With a voice of singing","Shaw",,"SATB",,,
"621","2 American Folk Songs",,"Rutter","SATB",,,"Saurwood Mountain; Black Sheep"
"581","A Whole New World","Menken","Lojeski","SAB",,,
"126","Deep River","Traditional Spiritual","Clausen","SATB",,,
"879","Miniyama Nayo","Rudoi",,"SATB",,,
"579","Wie Melodien Zieht es Mir","Brahms","Vanal","SATB",,,
"604","Hallelujah!","Mandel",,"SATB",,,
"846","Keep Your Lamps!",,"Thomas","SATB",,,
"625","Oh Lord, In Thee Have I Trusted","Handel","Malin","SSATB",,,
"220","If Music Be the Food of Love","Dickau",,"SATB",,,
"221","I'll Be There For You","Skloffe","Schmutte","SATB",,,
"129","Deck the Hall","Traditional Welsh Carol","Huff","SSATB",,,
"131","Dixit Maria","Hassler",,"SATB",,,
"711","Still Colors (Velvet Shoes)","Emery",,"SATB",,,"2 copies"
"585","What sweeter music","Rutter",,"SATB",,,
"152","Desh","Indian Raga","Sperry","SATB",,,
"713","Sing We Noel","Goemanne",,"SATB",,,"lots of time signature changes :("
"609","Let their celestial concerts unite","Handel",,"SATB",,,
"153","Fiddler Man","Rutter",,"SSATB",,,
"612","What is a Heart?","Duson",,"SATB",,,"5 copies"
"611","O eyes of my beloved","Lasso",,"SATB",,,
"154","Erev Shel Shoshanim","Hadar","Klebanow","SATB",,,
"155","Exsultate justi in Domino","Adams",,"SATB",,,"7 copies"
